lga_code,lga_name,pop_2016,pop_2017,a,b,c,d,e,area_km2,pop_density_km2
10050,Albury (C),52171,52949,233,239,306,1.5,778,305.9,173.1
10130,Armidale Regional (A),30313,30594,134,-252,399,0.9,281,8620.7,3.5
10250,Ballina (A),42993,43457,-85,335,214,1.1,464,484.9,89.6
10300,Balranald (A),2330,2341,19,-15,7,0.5,11,21690.7,0.1
10470,Bathurst Regional (A),42244,42779,140,215,180,1.3,535,3817.9,11.2
10500,Bayside (A),164534,170089,1317,-783,5021,3.4,5555,49.9,3409.3
10550,Bega Valley (A),33941,34102,-78,150,89,0.5,161,6278.9,5.4
10600,Bellingen (A),12951,12946,-24,-24,43,0.0,-5,1600.4,8.1
10650,Berrigan (A),8609,8664,-24,38,41,0.6,55,2065.8,4.2
10750,Blacktown (C),348030,357479,3792,576,5081,2.7,9449,240.0,1489.2
10800,Bland (A),6024,5985,-12,-35,8,-0.6,-39,8557.7,0.7
10850,Blayney (A),7343,7344,29,-39,11,0.0,1,1524.6,4.8
10900,Blue Mountains (C),78835,78968,87,-336,382,0.2,133,1431.1,55.2
10950,Bogan (A),2764,2664,-4,-102,6,-3.6,-100,14599.9,0.2
11150,Bourke (A),2762,2695,17,-87,3,-2.4,-67,41599.5,0.1
11200,Brewarrina (A),1710,1670,-2,-40,2,-2.3,-40,19163.5,0.1
11250,Broken Hill (C),18114,17873,-40,-242,41,-1.3,-241,170.1,105.1
11300,Burwood (A),38536,39310,176,-702,1300,2.0,774,7.1,5514.8
11350,Byron (A),33399,33987,154,52,382,1.8,588,565.8,60.1
11400,Cabonne (A),13577,13605,47,-43,24,0.2,28,6022.3,2.3
11450,Camden (A),80264,87068,913,5532,359,8.5,6804,201.0,433.1
11500,Campbelltown (C) (NSW),161566,164508,1360,9,1573,1.8,2942,311.9,527.4
11520,Canada Bay (A),92534,94150,801,-969,1784,1.7,1616,19.9,4725.6
11570,Canterbury-Bankstown (A),361862,368045,3240,-3438,6381,1.7,6183,110.3,3337.9
11600,Carrathool (A),2793,2796,3,-14,14,0.1,3,18932.5,0.1
